2025-09-15 15:36:22 - DEBUG - Bicep Curl: Smoothed Elbow=163.5°, Prev=156.0°, Direction=increasing, Frames Since Rep=28
2025-09-15 15:36:22 - DEBUG - Bicep Curl: Smoothed Elbow=168.8°, Prev=163.5°, Direction=increasing, Frames Since Rep=29
2025-09-15 15:36:22 - DEBUG - Bicep Curl: Smoothed Elbow=172.4°, Prev=168.8°, Direction=increasing, Frames Since Rep=30
2025-09-15 15:36:22 - DEBUG - Bicep Curl: Smoothed Elbow=174.1°, Prev=172.4°, Direction=increasing, Frames Since Rep=31
2025-09-15 15:36:22 - DEBUG - Bicep Curl: Smoothed Elbow=174.7°, Prev=174.1°, Direction=increasing, Frames Since Rep=32
2025-09-15 15:36:22 - DEBUG - Bicep Curl: Smoothed Elbow=174.9°, Prev=174.7°, Direction=increasing, Frames Since Rep=33
2025-09-15 15:36:22 - DEBUG - Bicep Curl: Smoothed Elbow=174.9°, Prev=174.9°, Direction=increasing, Frames Since Rep=34
2025-09-15 15:36:22 - DEBUG - Bicep Curl: Smoothed Elbow=175.1°, Prev=174.9°, Direction=increasing, Frames Since Rep=35
2025-09-15 15:36:22 - DEBUG - Bicep Curl: Smoothed Elbow=175.4°, Prev=175.1°, Direction=increasing, Frames Since Rep=36
2025-09-15 15:36:22 - DEBUG - Bicep Curl: Smoothed Elbow=175.7°, Prev=175.4°, Direction=increasing, Frames Since Rep=37
2025-09-15 15:36:22 - DEBUG - Bicep Curl: Smoothed Elbow=175.8°, Prev=175.7°, Direction=increasing, Frames Since Rep=38
2025-09-15 15:36:22 - DEBUG - Bicep Curl: Smoothed Elbow=176.0°, Prev=175.8°, Direction=increasing, Frames Since Rep=39
2025-09-15 15:36:22 - DEBUG - Bicep Curl: Smoothed Elbow=176.1°, Prev=176.0°, Direction=increasing, Frames Since Rep=40
2025-09-15 15:36:22 - DEBUG - Bicep Curl: Smoothed Elbow=176.2°, Prev=176.1°, Direction=increasing, Frames Since Rep=41
2025-09-15 15:36:22 - DEBUG - Bicep Curl: Smoothed Elbow=176.2°, Prev=176.2°, Direction=increasing, Frames Since Rep=42
